school,dist.n,schoolyr,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
Manzanita SEED Elementary,1,2013-14,11,6,333,0.03303303303303303,0.018018018018018018
Manzanita SEED Elementary,1,2014-15,31,15,522,0.05938697318007663,0.028735632183908046
Manzanita SEED Elementary,1,2015-16,21,16,292,0.07191780821917808,0.0547945205479452
Manzanita SEED Elementary,1,2016-17,8,3,268,0.029850746268656716,0.011194029850746268
Markham Elementary,1,2011-12,39,22,480,0.08125,0.04583333333333333
Markham Elementary,1,2012-13,28,21,474,0.05907172995780591,0.04430379746835443
Markham Elementary,1,2013-14,19,11,290,0.06551724137931035,0.03793103448275862
Markham Elementary,1,2014-15,37,16,442,0.083710407239819,0.03619909502262444
Markham Elementary,1,2015-16,19,8,245,0.07755102040816327,0.0326530612244898
Markham Elementary,1,2016-17,20,5,250,0.08,0.02
Marshall Elementary,1,2011-12,7,4,258,0.027131782945736434,0.015503875968992248
Martin Luther King Jr Elementary,1,2011-12,29,17,357,0.08123249299719888,0.047619047619047616
Martin Luther King Jr Elementary,1,2012-13,23,9,420,0.05476190476190476,0.02142857142857143
Martin Luther King Jr Elementary,1,2013-14,23,16,271,0.08487084870848709,0.05904059040590406
Martin Luther King Jr Elementary,1,2014-15,50,30,409,0.12224938875305623,0.07334963325183375
Martin Luther King Jr Elementary,1,2015-16,11,7,189,0.0582010582010582,0.037037037037037035
Martin Luther King Jr Elementary,1,2016-17,22,13,191,0.11518324607329843,0.06806282722513089
Maxwell Park International Academy,1,2011-12,21,20,315,0.06666666666666667,0.06349206349206349
Melrose Leadership Academy,1,2011-12,12,8,178,0.06741573033707865,0.0449438202247191
Melrose Leadership Academy,1,2012-13,12,8,223,0.053811659192825115,0.03587443946188341
Melrose Leadership Academy,1,2013-14,6,3,205,0.02926829268292683,0.014634146341463415
Melrose Leadership Academy,1,2014-15,13,7,362,0.03591160220994475,0.019337016574585635
Melrose Leadership Academy,1,2015-16,11,7,220,0.05,0.031818181818181815
Melrose Leadership Academy,1,2016-17,11,4,234,0.04700854700854701,0.017094017094017096
Montalvin Elementary,0,2011-12,23,1,532,0.043233082706766915,0.0018796992481203006
Montalvin Elementary,0,2012-13,25,1,526,0.04752851711026616,0.0019011406844106464
Montalvin Elementary,0,2013-14,21,19,381,0.05511811023622047,0.049868766404199474
Montalvin Elementary,0,2014-15,31,30,514,0.06031128404669261,0.058365758754863814
Montalvin Elementary,0,2015-16,19,19,291,0.06529209621993128,0.06529209621993128
Montalvin Elementary,0,2016-17,15,14,297,0.050505050505050504,0.04713804713804714
Montclair Elementary,1,2011-12,20,16,607,0.032948929159802305,0.026359143327841845
Montclair Elementary,1,2012-13,26,17,627,0.04146730462519936,0.02711323763955343
Montclair Elementary,1,2013-14,14,10,522,0.02681992337164751,0.019157088122605363
Montclair Elementary,1,2014-15,31,24,720,0.043055555555555555,0.03333333333333333
Montclair Elementary,1,2015-16,9,8,389,0.02313624678663239,0.02056555269922879
Montclair Elementary,1,2016-17,8,7,418,0.019138755980861243,0.01674641148325359
Murphy Elementary,0,2011-12,36,15,659,0.054628224582701064,0.02276176024279211
Murphy Elementary,0,2012-13,28,17,587,0.04770017035775128,0.028960817717206135
Murphy Elementary,0,2013-14,22,13,419,0.05250596658711217,0.031026252983293555
Murphy Elementary,0,2014-15,36,16,563,0.06394316163410302,0.028419182948490232
Murphy Elementary,0,2015-16,14,6,318,0.0440251572327044,0.018867924528301886
Murphy Elementary,0,2016-17,20,12,360,0.05555555555555555,0.03333333333333333
