school,dist.n,period,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
Riverside Elementary,0,1,3257,1894,61408,0.05303869202709745,0.030842886920270974
Riverside Elementary,0,2,2337,1435,38749,0.0603112338382926,0.03703321376035511
Sequoia Elementary,1,0,5738,3922,131924,0.043494739395409474,0.02972923804614778
Sequoia Elementary,1,1,3288,2118,73741,0.044588492154974846,0.028722149143624306
Sequoia Elementary,1,2,2284,1464,50126,0.04556517575709213,0.02920639987232175
Shannon Elementary,0,0,6188,3630,89401,0.06921622800639814,0.040603572666972405
Shannon Elementary,0,1,3329,1922,52419,0.06350750682004616,0.03666609435510025
Shannon Elementary,0,2,2454,1361,35974,0.06821593372991605,0.03783287930171791
Sheldon Elementary,0,0,6360,2308,113758,0.05590815590991403,0.02028868299372352
Sheldon Elementary,0,1,3535,1458,59568,0.059343943056674724,0.024476228847703466
Sheldon Elementary,0,2,2363,1326,37180,0.06355567509413663,0.03566433566433567
Stege Elementary,0,0,7532,3413,102891,0.07320368156592899,0.033171025648501815
Stege Elementary,0,1,4341,1231,48606,0.08930996173311936,0.025326091429041683
Stege Elementary,0,2,2808,792,28219,0.09950742407597718,0.028066196534249976
Tara Hills Elementary,0,0,8929,3259,158205,0.05643942985367087,0.020599854619006985
Tara Hills Elementary,0,1,5192,2097,76720,0.06767466110531804,0.02733315954118874
Tara Hills Elementary,0,2,3407,1697,46826,0.0727587237859309,0.03624055012172725
Think College Now,1,0,3733,2535,96428,0.038712822001908155,0.0262890446758203
Think College Now,1,1,2683,1599,52427,0.051175920804165796,0.03049955175768211
Think College Now,1,2,2244,973,38025,0.0590138067061144,0.025588428665351742
Thornhill Elementary,1,0,3277,2465,126685,0.025867308679006985,0.01945771006827959
Thornhill Elementary,1,1,2738,1509,68073,0.04022152689025017,0.022167379137102816
Thornhill Elementary,1,2,1668,1129,44101,0.03782227160381851,0.02560032652320809
Valley View Elementary,0,0,6821,4794,91486,0.07455785584679624,0.0524014603327285
Valley View Elementary,0,1,5775,3535,50122,0.11521886596704042,0.07052791189497626
Valley View Elementary,0,2,3255,1968,35931,0.09059029807130334,0.05477164565417049
Verde Elementary,0,0,6414,2011,91995,0.06972118049894016,0.02185988368933094
Verde Elementary,0,1,3296,1295,49950,0.06598598598598598,0.025925925925925925
Verde Elementary,0,2,2594,1355,33458,0.07753003765915475,0.04049853547731485
Washington Elementary,0,0,7178,3158,138184,0.05194523244369826,0.02285358652231807
Washington Elementary,0,1,4570,2563,72897,0.06269119442501063,0.0351591972234797
Washington Elementary,0,2,3462,2017,49495,0.0699464592383069,0.040751591069805033
Wilson Elementary,0,0,8312,4484,159601,0.052079874186251963,0.028095062061014656
Wilson Elementary,0,1,4155,2477,76994,0.05396524404499052,0.032171338026339716
Wilson Elementary,0,2,3096,1789,44309,0.06987293777787808,0.04037554447177774
